spec,exposure,outcome,n,beta,se,t,p,ci_lo,ci_hi,r2,r2_adj
Spec1_Baseline,rehab_total_rate,hip_fracture_rate,47,0.0005,0.0001,4.472,0.0001,0.0003,0.0007,0.511,0.477
Spec2_HC3,rehab_total_rate,hip_fracture_rate,47,0.0005,0.0001,3.463,0.0005,0.0002,0.0008,0.511,0.477
Spec3_OutlierExcluded,rehab_total_rate,hip_fracture_rate,47,0.0005,0.0001,4.472,0.0001,0.0003,0.0007,0.511,0.477
Spec4_MetroExcluded,rehab_total_rate,hip_fracture_rate,44,0.0005,0.0001,4.576,0.0,0.0003,0.0008,0.491,0.453
Spec5_LogTransformed,rehab_total_rate,hip_fracture_rate,47,0.1945,0.0365,5.324,0.0,0.1208,0.2682,0.559,0.528
Spec6_AgingOnly,rehab_total_rate,hip_fracture_rate,47,0.0005,0.0001,4.522,0.0,0.0003,0.0007,0.511,0.489
Spec1_Baseline,rehab_total_rate,hip_fracture_tha_rate,47,0.0001,0.0,1.485,0.145,-0.0,0.0002,0.13,0.069
Spec2_HC3,rehab_total_rate,hip_fracture_tha_rate,47,0.0001,0.0,1.372,0.1699,-0.0,0.0002,0.13,0.069
Spec3_OutlierExcluded,rehab_total_rate,hip_fracture_tha_rate,47,0.0001,0.0,1.485,0.145,-0.0,0.0002,0.13,0.069
Spec4_MetroExcluded,rehab_total_rate,hip_fracture_tha_rate,44,0.0001,0.0,1.651,0.1067,-0.0,0.0002,0.122,0.056
Spec5_LogTransformed,rehab_total_rate,hip_fracture_tha_rate,47,0.1004,0.0579,1.735,0.09,-0.0163,0.2172,0.139,0.079
Spec6_AgingOnly,rehab_total_rate,hip_fracture_tha_rate,47,0.0001,0.0,1.446,0.1553,-0.0,0.0002,0.102,0.061
Spec1_Baseline,h002_rate,hip_fracture_rate,47,0.0005,0.0001,3.868,0.0004,0.0003,0.0008,0.469,0.432
Spec2_HC3,h002_rate,hip_fracture_rate,47,0.0005,0.0002,3.006,0.0026,0.0002,0.0009,0.469,0.432
Spec3_OutlierExcluded,h002_rate,hip_fracture_rate,47,0.0005,0.0001,3.868,0.0004,0.0003,0.0008,0.469,0.432
Spec4_MetroExcluded,h002_rate,hip_fracture_rate,44,0.0006,0.0001,3.975,0.0003,0.0003,0.0008,0.445,0.403
Spec5_LogTransformed,h002_rate,hip_fracture_rate,47,0.1647,0.0371,4.44,0.0001,0.0899,0.2395,0.499,0.464
Spec6_AgingOnly,h002_rate,hip_fracture_rate,47,0.0005,0.0001,3.912,0.0003,0.0003,0.0008,0.469,0.445
Spec1_Baseline,h002_rate,hip_fracture_tha_rate,47,0.0001,0.0001,1.261,0.2142,-0.0,0.0002,0.118,0.056
Spec2_HC3,h002_rate,hip_fracture_tha_rate,47,0.0001,0.0001,1.181,0.2375,-0.0,0.0002,0.118,0.056
Spec3_OutlierExcluded,h002_rate,hip_fracture_tha_rate,47,0.0001,0.0001,1.261,0.2142,-0.0,0.0002,0.118,0.056
Spec4_MetroExcluded,h002_rate,hip_fracture_tha_rate,44,0.0001,0.0001,1.447,0.1557,-0.0,0.0002,0.109,0.042
Spec5_LogTransformed,h002_rate,hip_fracture_tha_rate,47,0.0821,0.0556,1.476,0.1471,-0.03,0.1942,0.124,0.062
Spec6_AgingOnly,h002_rate,hip_fracture_tha_rate,47,0.0001,0.0001,1.236,0.2228,-0.0,0.0002,0.09,0.049
Spec1_Baseline,h003_rate,hip_fracture_rate,47,0.0403,0.0151,2.678,0.0104,0.01,0.0707,0.386,0.343
Spec2_HC3,h003_rate,hip_fracture_rate,47,0.0403,0.0107,3.78,0.0002,0.0194,0.0612,0.386,0.343
Spec3_OutlierExcluded,h003_rate,hip_fracture_rate,44,0.0541,0.0257,2.102,0.0419,0.0021,0.106,0.349,0.3
Spec4_MetroExcluded,h003_rate,hip_fracture_rate,44,0.0412,0.0156,2.647,0.0116,0.0097,0.0726,0.341,0.291
Spec5_LogTransformed,h003_rate,hip_fracture_rate,47,0.0464,0.0131,3.535,0.001,0.0199,0.0729,0.433,0.394
Spec6_AgingOnly,h003_rate,hip_fracture_rate,47,0.0401,0.0148,2.7,0.0098,0.0102,0.07,0.386,0.358
Spec1_Baseline,h003_rate,hip_fracture_tha_rate,47,0.0095,0.0054,1.776,0.0829,-0.0013,0.0204,0.148,0.088
Spec2_HC3,h003_rate,hip_fracture_tha_rate,47,0.0095,0.0062,1.528,0.1266,-0.0027,0.0218,0.148,0.088
Spec3_OutlierExcluded,h003_rate,hip_fracture_tha_rate,44,0.019,0.0087,2.188,0.0346,0.0015,0.0366,0.198,0.138
Spec4_MetroExcluded,h003_rate,hip_fracture_tha_rate,44,0.0101,0.0055,1.841,0.0731,-0.001,0.0212,0.136,0.071
Spec5_LogTransformed,h003_rate,hip_fracture_tha_rate,47,0.0434,0.0178,2.439,0.0189,0.0075,0.0793,0.191,0.135
Spec6_AgingOnly,h003_rate,hip_fracture_tha_rate,47,0.009,0.0054,1.663,0.1035,-0.0019,0.0198,0.115,0.074
